'Hyaena hyaena',
'Proteles cristatus',
'Atilax paludinosus',
'Bdeogale crassicauda',
'Crossarchus ansorgei',
'Crossarchus obscurus',
'Cynictis penicillata',
'Herpestes auropunctatus',
'Herpestes pulverulentus',
'Herpestes sanguineus',
'Ichneumia albicauda',
'Liberiictis kuhni',
'Suricata suricatta',
'Acinonyx jubatus',
'Felis concolor',
'Felis geoffroyi',
'Felis lynx',
'Felis margarita',
'Felis nigripes',
'Herpailurus yagouaroundi',
'Leopardus braccatus',
'Leopardus pardalis',
'Leopardus wiedii',
'Lynx rufus',
'Oreailurus jacobita',
'Panthera leo',
'Panthera onca',
'Panthera pardus',
'Panthera tigris',
'Uncia uncia',
'Cryptoprocta ferox',
'Civettictis civetta',
'Genetta genetta',
'Osbornictis piscivora',
'Megaptera novaeangliae',
'Lagenodelphis hosei',
'Lagenorhynchus albirostris',
'Lissodelphis borealis',
'Lissodelphis peronii',
'Orcaella brevirostris',
'Orcinus orca',
'Peponocephala electra',
'Pseudorca crassidens',
'Sotalia fluviatilis',
'Sousa chinensis',
'Stenella attenuata',
'Stenella clymene',
'Stenella coeruleoalba',
'Stenella frontalis',
'Stenella longirostris',
'Steno bredanensis',
'Delphinapterus leucas',
'Monodon monoceros',
'Neophocaena phocaenoides',
'Phocoena dioptrica',
'Phocoena phocoena',
'Phocoena sinus',
'Phocoena spinipinnis',
'Phocoenoides dalli',
'Kogia simus',
'Inia geoffrensis',
'Lipotes vexillifer',
'Mesoplodon europaeus',
'Mesoplodon stejnegeri',
'Dugong dugon',
'Hydrodamalis gigas',
'Trichechus inunguis',
'Trichechus manatus',
'Trichechus senegalensis',
'Elephas maximus',
'Loxodonta africana',
'Equus asinus',
'Equus burchelli',
'Equus caballus',
'Equus grevyi',
'Equus kiang',
'Equus zebra',
'Tapirus pinchaque',
'Tapirus terrestris',
'Ceratotherium simum',
'Dicerorhinus sumatrensis',
'Diceros bicornis',
'Rhinoceros sondaicus',
'Rhinoceros unicornis',
'Dendrohyrax dorsalis',
'Heterohyrax brucei',
'Procavia capensis',
'Orycteropus afer',
'Catagonus wagneri',
'Tayassu pecari',
'Camelus dromedarius',
'Giraffa camelopardalis',
'Okapia johnstoni',
'Hippocamelus antisensis',
'Cervus nippon',
'Dama gazelle’,
'Elaphodus cephalophus',
'Przewalskium albirostre',
'Rusa unicolor',
'Alces alces',
'Blastocerus dichotomus',
'Capreolus capreolus',
'Capreolus pygargus',
'Odocoileus hemionus',
'Odocoileus virginianus',
'Ozotoceros bezoarticus',
'Antilocapra americana',
'Connochaetes gnou',
'Antidorcas marsupialis',
'Gazella dorcas',
'Gazella gazella',
'Gazella subgutturosa',
'Madoqua guentheri',
'Madoqua kirkii',
'Oryx callotis',
'Procapra gutturosa',
'Procapra picticaudata',
'Procapra przewalskii',
'Saiga tatarica',
'Bison bison',
'Bos mutus',
'Boselaphus tragocamelus',
'Bubalus mindorensis',
'Taurotragus oryx',
'Tetracerus quadricornis',
'Tragelaphus eurycerus',
'Ammotragus lervia',
'Budorcas taxicolor',
'Capra cylindricornis',
'Capra ibex',
'Capra sibirica',
'Capricornis cripus',
'Nemorhaedus goral',
'Oreamnos americanus',
'Ovibos moschatus',
'Ovis ammon',
'Ovis canadensis',
'Ovis dalli',
'Pantholops hodgsonii',
'Pseudois nayaur',
